EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC1OR2.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC1OR2.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC1OR2.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC1OR2.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC1OR2.CALCULATION_METHOD,EF_W_ATM_STG_TANKS_CALC1OR2.SOFTWARE_PACKAGE_USED,EF_W_ATM_STG_TANKS_CALC1OR2.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC1OR2.TOTAL_VOLUME_OF_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_TEMPERATURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_PRESSURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_A_P_I_GRAVITY,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_GAS_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.NUMBER_OF_WELLS_SEND_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.NOT_ON_WELL_PAD_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CO2_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CH4_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VENT_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_VENTING_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_FLARED,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_FLARING,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_N2O_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.NUM_SEPS_WITH_STUCK_DUMP_VAL,EF_W_ATM_STG_TANKS_CALC1OR2.HRS_DUMP_VALVES_DID_NOT_CLOSE,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.API_WELL_NUMBERS
Medallion Midstream 2  LLC. - Permian Basin (430) Gathering & Boosting,1013280,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,REEVES  TX,Calculation Methodology 1,E&P Tanks 2.0,,24947,100,50,44.3,.00546,.005464,.37139,.371399,,2,,No,,,,,,No,,,,Yes,2,49.8358532,.0600925,.000052,,,,,
Medallion Midstream 2  LLC. - Permian Basin (430) Gathering & Boosting,1013280,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,REEVES  TX,Calculation Methodology 1,E&P Tanks 2.0,,53417,86.6666667,53.3333333,44.3,.00546,.005464,.37139,.371399,,7,,No,,,,,,Yes,7,.2593018,6.4335562,No,,,,,,,,,
EOG Resources 575 Uinta Basin Gathering & Boosting,1013127,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,UINTAH  UT,Calculation Methodology 1,ProMax,,9180,80,160,46.86,.01307,.01323,.25437,.26921,,9,,No,,,,,,No,,,,Yes,9,123.21669,.0971,.00012,,,,,
Cook Inlet Energy Onshore Gathering and Boosting,1013004,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,KENAI  AK,Calculation Methodology 1,API 4697 E&P Tank,,160213,90,70,27.5,.0304,.0304,.741,.741,,3,,Yes,3,18.829,126.941,2.106,14.197,No,,,,No,,,,,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,Haskell  KS,Calculation Methodology 1,ProMax,,1634738.39,135.14,45.22,25,0,.1558258,.306307,.7671831,,95,,No,,,,,,Yes,87,9.02068,94.09802,Yes,8,1787.52602,2.3212,.00184,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,Texas  OK,Calculation Methodology 1,ProMax,,102725.67,133.3,45.4,25,.0109433,.0201768,.3067383,.7552547,,12,,No,,,,,,Yes,12,1.19582,15.85578,No,,,,,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,Finney  KS,Calculation Methodology 1,ProMax,,359477.5,137.0111111,46.9777778,25,0,.1558258,.306307,.7722971,,39,,No,,,,,,Yes,35,2.60076,45.84312,Yes,4,445.8251,.44839,.00047,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,Kearny  KS,Calculation Methodology 1,ProMax,,9406.84,140,62.5,25,.0205052,.0887595,.3245432,.5272558,,5,,No,,,,,,Yes,5,.11438,.31663,No,,,,,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,Morton  KS,Calculation Methodology 1,ProMax,,21017.12,133.3,45.4,25,0,.1558258,.306307,.406796,,10,,No,,,,,,Yes,10,.17298,2.73488,No,,,,,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],,Seward  KS,Calculation Methodology 1,ProMax,,10830.54,133.3,45.4,25,.0114138,.0114138,.4336376,.4336376,,4,,No,,,,,,Yes,4,.10639,1.47538,No,,,,,,,,,
