EF_W_ATM_STG_TANKS_CALC3.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC3.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC3.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC3.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC3.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC3.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC3.FRACT_OIL_THROUGHPUT_FLARING,EF_W_ATM_STG_TANKS_CALC3.FRACT_THROUGHPUT_WITH_VAPOR,EF_W_ATM_STG_TANKS_CALC3.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC3.WELLS_WITH_SEPS,EF_W_ATM_STG_TANKS_CALC3.WELLS_WITHOUT_SEPS,EF_W_ATM_STG_TANKS_CALC3.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC3.ANNUAL_OIL_THROUGHPUT,EF_W_ATM_STG_TANKS_CALC3.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC3.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC3.TANKS_WITHOUT_FLARES,EF_W_ATM_STG_TANKS_CALC3.CO2_EMISSIONS_NOT_FLARED,EF_W_ATM_STG_TANKS_CALC3.CH4_EMISSIONS_NOT_FLARED,EF_W_ATM_STG_TANKS_CALC3.TANKS_WITH_FLARES,EF_W_ATM_STG_TANKS_CALC3.CO2_EMISSIONS_FROM_FLARE,EF_W_ATM_STG_TANKS_CALC3.CH4_EMISSIONS_FROM_FLARE,EF_W_ATM_STG_TANKS_CALC3.N2O_EMISSIONS_FROM_FLARE
Medallion Midstream 2  LLC. - Permian Basin (430) Gathering & Boosting,1013280,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],0,0,2,,,,1532,,,,,,,,,
Williams - G&B Facility - Denver Basin 540 (Tulsa  OK),1013203,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],0,0,12,,,,11917,,,,,,,,,
EOG Resources 575 Uinta Basin Gathering & Boosting,1013127,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],1,0,31,,,,6025,,,,,,,,,
MERIT ANADARKO BASIN NGG&B,1012778,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],0,0,81,,,,64385,,,,,,,,,
Jay-Bee Oil & Gas Wellsites,1012734,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],.9,0,66,31,0,No,15366,,,,,,,,,
Basin 430 West Texas BG,1012712,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],.4509804,.2058824,204,,,,128894,,,,,,,,,
Kinder Morgan  Inc. 355 Chautauqua Platform,1012597,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],0,0,93,,,,26939.61,,,,,,,,,
U.S. Energy Development Corp.,1013851,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],1,0,96,49,0,No,1278713,,,,,,,,,
Steward Energy II 430 Permian Basin,1013735,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],1,0,12,4,0,No,8616.985537,,,,,,,,,
Scala Energy  LLC - 430 (Permian Basin),1013626,2020,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],0,0,6,3,0,No,4529.838037,,,,,,,,,
