EF_W_LIQUIDS_UNLOAD_UNITS.FACILITY_NAME,EF_W_LIQUIDS_UNLOAD_UNITS.FACILITY_ID,EF_W_LIQUIDS_UNLOAD_UNITS.REPORTING_YEAR,EF_W_LIQUIDS_UNLOAD_UNITS.TABLE_NUM,EF_W_LIQUIDS_UNLOAD_UNITS.TABLE_DESC,EF_W_LIQUIDS_UNLOAD_UNITS.INDUSTRY_SEGMENT,EF_W_LIQUIDS_UNLOAD_UNITS.SUB_BASIN_IDENTIFIER,EF_W_LIQUIDS_UNLOAD_UNITS.TUBING_DIAMETER_AND_PRESSURE,EF_W_LIQUIDS_UNLOAD_UNITS.PLUNGER_LIFTS_USED,EF_W_LIQUIDS_UNLOAD_UNITS.PERCENT_WELLS_NOT_MONITORING,EF_W_LIQUIDS_UNLOAD_UNITS.TIME_WELLS_VENTED,EF_W_LIQUIDS_UNLOAD_UNITS.NUMBER_OF_WELLS,EF_W_LIQUIDS_UNLOAD_UNITS.NUM_OF_UNLOADINGS_VENTED,EF_W_LIQUIDS_UNLOAD_UNITS.ANNUAL_N_G_EMISSIONS,EF_W_LIQUIDS_UNLOAD_UNITS.LIQUIDS_UNLOAD_C1_TOT_CO2_EMM,EF_W_LIQUIDS_UNLOAD_UNITS.TOTAL_CH4_EMISSIONS,EF_W_LIQUIDS_UNLOAD_UNITS.WELL_NUMBER_OF_TESTED_WELL,EF_W_LIQUIDS_UNLOAD_UNITS.CASING_PRESSURE,EF_W_LIQUIDS_UNLOAD_UNITS.INTERNAL_CASING_DIAMETER,EF_W_LIQUIDS_UNLOAD_UNITS.TUBING_PRESSURE,EF_W_LIQUIDS_UNLOAD_UNITS.INTERNAL_TUBING_DIAMETER,EF_W_LIQUIDS_UNLOAD_UNITS.WELL_DEPTH,EF_W_LIQUIDS_UNLOAD_UNITS.AVERAGE_WELL_VENTING_FLOW_RATE,EF_W_LIQUIDS_UNLOAD_UNITS.CALCULATION_METHODOLOGY,EF_W_LIQUIDS_UNLOAD_UNITS.NUMBER_OF_WELLS_VENTED,EF_W_LIQUIDS_UNLOAD_UNITS.CUM_NUMBER_OF_UNLOAD_VENTED,EF_W_LIQUIDS_UNLOAD_UNITS.NAT_GAS_WELL_VENTING_EMISSIONS,EF_W_LIQUIDS_UNLOAD_UNITS.AVG_INTERNAL_CASING_DIAMETER,EF_W_LIQUIDS_UNLOAD_UNITS.AVG_INTERNAL_TUBING_DIAMETER
Fairway Resources,1012825,2020,Table F.1,Calculation Methodology 1 (counts  time  emissions),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,,,6.5,1002,,,,,,,,,,,,,
EXCO Resources  Inc. - Arkla Basin #230,1008957,2020,Table F.1,Calculation Methodology 1 (counts  time  emissions),Onshore petroleum and natural gas production [98.230(a)(2)],230 - DE SOTO  LA (31) - Shale gas,>1 inch and <2.375 inches  >200 psig,No,0,32912.95,128,19534,145085549.6720001,237.3,2685.9,,,,,,,,,,,,,
EXCO Resources  Inc. - Arkla Basin #230,1008957,2020,Table F.1,Calculation Methodology 1 (counts  time  emissions),Onshore petroleum and natural gas production [98.230(a)(2)],230 - CADDO  LA (17) - Shale gas,>1 inch and <2.375 inches  >200 psig,No,0,1255.65,3,797,18138391.623,23.3,335.34,,,,,,,,,,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - TIOGA  PA (117) - Shale gas,,No,,,,,,.4,115.98,,,,,,,,Calculation Methodology 2 [98.233(f)(2)],18,51,6209891.1620462,5.5,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - CHEMUNG  NY (15) - High permeability gas,,No,,,,,,0,2.05,,,,,,,,Calculation Methodology 2 [98.233(f)(2)],1,2,108451.6666667,2.7638889,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - STEUBEN  NY (101) - High permeability gas,,No,,,,,,.1,9.01,,,,,,,,Calculation Methodology 2 [98.233(f)(2)],2,26,475930.6791667,1.637931,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - BRADFORD  PA (15) - Shale gas,,Yes,,,,,,.2,114.32,,,,,,,,Calculation Methodology 3 [98.233(f)(3)],54,142,6108562.361035,,5.5
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - TIOGA  PA (117) - Shale gas,,Yes,,,,,,.1,33.93,,,,,,,,Calculation Methodology 3 [98.233(f)(3)],25,53,1816672.8740374,,5.5
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - CHEMUNG  NY (15) - High permeability gas,,Yes,,,,,,0,.73,,,,,,,,Calculation Methodology 3 [98.233(f)(3)],2,7,38793.5730469,,2.7638889
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2020,Table F.2,Calculation Methodology 2 and 3 (with or without plunger lifts),Onshore petroleum and natural gas production [98.230(a)(2)],160A - STEUBEN  NY (101) - High permeability gas,,Yes,,,,,,0,.74,,,,,,,,Calculation Methodology 3 [98.233(f)(3)],1,3,39001.3330729,,1.637931
