EF_W_NGPNEUMATIC_PMP_UNITS.FACILITY_NAME,EF_W_NGPNEUMATIC_PMP_UNITS.FACILITY_ID,EF_W_NGPNEUMATIC_PMP_UNITS.REPORTING_YEAR,EF_W_NGPNEUMATIC_PMP_UNITS.TABLE_NUM,EF_W_NGPNEUMATIC_PMP_UNITS.TABLE_DESC,EF_W_NGPNEUMATIC_PMP_UNITS.INDUSTRY_SEGMENT,EF_W_NGPNEUMATIC_PMP_UNITS.PNEUM_PUMP_TYPE,EF_W_NGPNEUMATIC_PMP_UNITS.PNEUM_PUMP_TYPE_TOTAL_CO2_EMM,EF_W_NGPNEUMATIC_PMP_UNITS.TOTAL_CH4_EMISSIONS,EF_W_NGPNEUMATIC_PMP_UNITS.TOTAL_PNEUMATIC_PUMP_COUNT,EF_W_NGPNEUMATIC_PMP_UNITS.ESTIMATED_NUMBER_OF_HOURS
Medallion Midstream 2  LLC. - Permian Basin (430) Gathering & Boosting,1013280,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0,3.14,2,8064
BKV Operating LLC,1009732,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,10.27,51,807.7431373
Permian Basin,1009846,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8.4,119.81,74,8760
Samson Resources 515 Powder River Basin,1008857,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,3.38,2,8784
EOG Resources  Inc. 535 Green River basin,1008353,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,0,194,1463
California Resources Production Corporation  Sacramento Valley Basin 730,1008405,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
North Shore CENTRAL WESTERN OVERTHRUST,1008139,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,,,
Whiting Oil and Gas Corporation 540 Denver Basin,1009185,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.2,28.47,29,7655
Unit Petroleum 783 Anadarko Basin,1008241,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,28.4,808.19,480,8277.4608434
BOC 220 Gulf Coast Basin Onshore,1008548,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Antero Resources - 160 - Appalachian Basin (Utica),1010718,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Tallgrass Powder River Basin Gathering System,1012205,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0,.06,16,20
Mallard Exploration LLC,1013918,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
ETX Basin 260 Production,1013925,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,30.4,305.04,180,8760
EOG Resources  Inc. 355 Chautauqua Platform,1013078,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,0,24,149
IACX Roswell,1013144,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,.3,57.21,29,8784
MarkWest Oklahoma Gas Company  L.L.C. - 360 Anadarko Basin - G&B,1012496,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,13.4,760.7,415,8784
MarkWest Energy East Texas Gas Company  L.L.C. - 260 East Texas Basin - G&B,1012484,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,17.3,358.1,184,8784
Anschutz Exploration Corporation - Powder River Basin,1013264,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
MarkWest Energy South Texas Gas Company  L.L.C. - 220 Gulf Coast Basin (LA  TX) - G&B,1012497,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,,,
Enterprise Products Operating LLC 535 Green River Basin,1012524,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,,,
Ascent Resources - Utica (160),1011393,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,.84,1,4254
Kinder Morgan  Inc. 345 Arkoma Basin,1012566,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,8.6,108.17,52,8784
Trinity Operating (USG)  LLC - Gulf Coast Basin (220),1013354,2020,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.2,15.27,10,8760
