estimated_number_of_hours,facility_name,facility_id,industry_segment,pneum_pump_type,pneum_pump_type_total_co2_emm,reporting_year,table_desc,table_num,total_ch4_emissions,total_pneumatic_pump_count
8760,"Kinder Morgan, Inc. 420 Fort Worth Syncline",1012579,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,3.4,2017,NG Driven Pneumatic Pumps emissions,Table C.1,7.65,5
8760,Grizzly Anadarko Basin,1008200,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.6,2015,NG Driven Pneumatic Pumps emissions,Table C.1,110.7,60
3333,"EOG Resources, Inc. 507 Central Western Overthrust",1008395,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,38.9,2016,NG Driven Pneumatic Pumps emissions,Table C.1,207.5,325
8760,PRM Powder River CBM Field,1013529,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.8,2016,NG Driven Pneumatic Pumps emissions,Table C.1,129.94,60
8760,"Encino Operating, L.L.C. - Anadarko Basin",1011839,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2015,NG Driven Pneumatic Pumps emissions,Table C.1,5.1,3
,Southwestern Production Corp Powder River Basin (515) Operations,1012947,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
4380,Berry Petroleum Company 575 Uinta Basin Gathering and Boosting,1012713,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2019,NG Driven Pneumatic Pumps emissions,Table C.1,9.64,10
,"Equitrans, LP - Equitrans Gathering",1013801,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Riviera Resources 430 Permian Basin Production Segment,1008365,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
,CRI 350 SOK Folded Belt,1011191,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Energy Transfer 355 - Chautaugua Platform,1012387,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.6,2017,NG Driven Pneumatic Pumps emissions,Table C.1,48.3,28
8760,DCP Midstream 350 South Oklahoma Folded Belt,1012240,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2022,NG Driven Pneumatic Pumps emissions,Table C.1,3.34,2
8424,Fairway Resources,1012825,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,45,2020,NG Driven Pneumatic Pumps emissions,Table C.1,200,406
,"Miller Energy Company II, LLC",1010291,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Unit Petroleum 285 Permian Basin,1009339,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
