annual_n_g_emissions,avg_internal_casing_diameter,avg_internal_tubing_diameter,average_well_venting_flow_rate,calculation_methodology,casing_pressure,cum_number_of_unload_vented,facility_name,facility_id,industry_segment,internal_casing_diameter,internal_tubing_diameter,nat_gas_well_venting_emissions,num_of_unloadings_vented,number_of_wells,number_of_wells_vented,percent_wells_not_monitoring,reporting_year,sub_basin_identifier,table_desc,table_num,time_wells_vented,total_ch4_emissions,tubing_diameter_and_pressure,tubing_pressure,well_depth,well_number_of_tested_well,liquids_unload_c1_tot_co2_emm,plunger_lifts_used
,,1.9950000000,,Calculation Methodology 3 [98.233(f)(3)],,118.0000000000,Berry Petroleum Company 585 Piceance Basin Production Segment,1008165,Onshore petroleum and natural gas production [98.230(a)(2)],,,337676.1388225000,,,33.0000000000,,2020,"595 - GARFIELD, CO (45) - Other tight reservoir rock",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,5.7500000000,,,,,0.6000000000,Yes
,4.9500000000,,,Calculation Methodology 2 [98.233(f)(2)],,23.0000000000,Atlas 420/Fort Worth Syncline Basin - Jacksboro,1010237,Onshore petroleum and natural gas production [98.230(a)(2)],,,149103.0000000000,,,4.0000000000,,2017,"420 - DENTON, TX (121) - Shale gas",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,2.7000000000,,,,,0.2000000000,No
12.3049463000,,,,,,,Blackbeard Operating - 360 - Anadarko Basin,1012437,Onshore petroleum and natural gas production [98.230(a)(2)],,,,1.0000000000,1.0000000000,,1.0000000000,2018,"360 - HEMPHILL, TX (211) - Other tight reservoir rock","Calculation Methodology 1 (counts, time, emissions)",Table F.1,3.0000000000,0E-10,">2.375 inches, >200 psig",,,,0E-10,Yes
,,1.9950000000,,Calculation Methodology 3 [98.233(f)(3)],,90.0000000000,XTO Energy Inc 345 Arkoma,1009392,Onshore petroleum and natural gas production [98.230(a)(2)],,,5522454.9848000000,,,11.0000000000,,2016,"345 - CONWAY, AR (29) - Shale gas",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,99.2500000000,,,,,14.5000000000,Yes
,,2.2080000000,,Calculation Methodology 3 [98.233(f)(3)],,2190.0000000000,Foundation Energy Management 345 Arkoma Basin,1008753,Onshore petroleum and natural gas production [98.230(a)(2)],,,1789148.1252557000,,,1.0000000000,,2017,"345 - LE FLORE, OK (79) - High permeability gas",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,32.5400000000,,,,,2.8000000000,Yes
,,2.4400000000,,Calculation Methodology 3 [98.233(f)(3)],,70.0000000000,Encino Energy (EAP Ohio LLC),1013283,Onshore petroleum and natural gas production [98.230(a)(2)],,,3259913.4521000000,,,20.0000000000,,2020,"160A - JEFFERSON, OH (81) - Shale gas",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,60.6700000000,,,,,0.5000000000,Yes
792846.8101519000,,,,,,,Lewis Energy Group,1009588,Onshore petroleum and natural gas production [98.230(a)(2)],,,,1050.0000000000,404.0000000000,,1.0000000000,2018,"220 - WEBB, TX (479) - High permeability gas","Calculation Methodology 1 (counts, time, emissions)",Table F.1,525.0000000000,13.3500000000,">1 inch and <2.375 inches, >60 psig and <110 psig",,,,0.4000000000,No
,,2.0102000000,,Calculation Methodology 3 [98.233(f)(3)],,100.0000000000,XTO Energy Inc 345 Arkoma,1009392,Onshore petroleum and natural gas production [98.230(a)(2)],,,5309384.3843470000,,,9.0000000000,,2015,"345 - FAULKNER, AR (45) - Shale gas",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.3,,96.9100000000,,,,,9.3000000000,Yes
,1.4298246000,,,Calculation Methodology 2 [98.233(f)(2)],,28.0000000000,"Wapiti Operating, LLC 575 Uinta Basin",1011596,Onshore petroleum and natural gas production [98.230(a)(2)],,,233432.6187502000,,,25.0000000000,,2022,"575 - CARBON, UT (7) - Other tight reservoir rock",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,3.9200000000,,,,,0.1000000000,No
,,1.9950000000,,Calculation Methodology 3 [98.233(f)(3)],,9.0000000000,XTO Energy Inc 360 Anadarko,1009143,Onshore petroleum and natural gas production [98.230(a)(2)],,,21313.7471000000,,,6.0000000000,,2022,"360 - MAJOR, OK (93) - High permeability gas",Calculation Methodology 2 and 3 (with or without plunger lifts),Table F.2,,0.3300000000,,,,,0E-10,Yes
