Tranche,Oil well productivity [bbl/well/day]
1,0.00010101
2,0.000146843
3,1.26815E-05
4,5.92768E-05
5,8.61698E-05
6,7.44186E-06
7,8.94654E-05
8,0.000130081
9,1.12328E-05
10,8.67303E-05
11,0.000126064
12,1.08876E-05
13,6.75676E-05
14,9.82077E-05
15,8.4823E-06
16,0.000138552
17,0.00020141
18,1.73943E-05
19,0.00012285
20,0.000178571
21,1.54232E-05
22,0.000573888
23,0.000833333
24,7.20591E-05
25,0.000656814
26,0.000954654
27,8.25083E-05
28,0.04
29,0.057142857
30,0.005555556
31,0.00952381
32,0.013793103
33,0.00300324
34,0.013547901
35,0.013527058
36,0.013575769
37,0.028491733
38,0.028450969
39,0.028512105
40,0.052787966
41,0.052813997
42,0.052836357
43,0.118698742
44,0.118684208
45,0.11871095
46,0.231609561
47,0.231589167
48,0.231620913
49,0.693716762
50,0.693738516
51,0.69376727
52,2.690287371
53,2.688059099
54,2.693600898
55,7.286083714
56,7.283238177
57,7.310971067
58,39.13022352
59,40.37671375
60,49.21873168
61,2.938603177
62,4.768457768
63,5.362534662
64,6.631839676
65,10.7082789
66,26.13150267
67,63.54322255
68,130.9903846
69,151.5905018
70,286.3333333
71,0.332954744
72,1.482780213
73,5.979869483
74,42.96911116
